"TIME","GEO","INDIC_ED","UNIT","Value","Flag and Footnotes"
"2000","European Union (28 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","European Union (28 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","European Union (28 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","European Union (28 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","European Union (27 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","European Union (27 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","European Union (27 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","European Union (27 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","European Union (25 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","European Union (25 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","European Union (25 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","European Union (25 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (18 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","Euro area (18 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (18 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (18 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (17 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","Euro area (17 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (17 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (17 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (15 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","Euro area (15 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (15 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (15 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (13 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","Euro area (13 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (13 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2000","Euro area (13 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2000","Belgium","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2000","Belgium","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,798.1","i"
"2000","Belgium","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","5,422.6","i"
