"TIME","GEO","INDIC_ED","Value","Flag and Footnotes"
"2000","European Union (28 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","European Union (27 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","European Union (25 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Euro area (18 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Euro area (17 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Euro area (15 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Euro area (13 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Belgium","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","23.0","i"
"2000","Bulgaria","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","23.4",""
"2000","Czech Republic","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","19.0",""
"2000","Denmark","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","28.4","i"
"2000","Germany (until 1990 former territory of the FRG)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.2",""
"2000","Estonia","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Ireland","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","18.0",""
"2000","Greece","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Spain","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","23.8",""
"2000","France","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","26.0",""
"2000","Croatia","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Italy","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":","u"
"2000","Cyprus","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","27.3",""
"2000","Latvia","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.6",""
"2000","Lithuania","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":","i"
"2000","Luxembourg","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Hungary","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":","u"
"2000","Malta","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","20.5","d"
"2000","Netherlands","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","22.9",""
"2000","Austria","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","28.3",""
"2000","Poland","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","21.8","i"
"2000","Portugal","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.8","d"
"2000","Romania","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Slovenia","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Slovakia","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","17.7",""
"2000","Finland","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","22.5",""
"2000","Sweden","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.5",""
"2000","United Kingdom","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","21.3",""
"2000","Iceland","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","26.1","d"
"2000","Liechtenstein","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Norway","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","24.3",""
"2000","Switzerland","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":",""
"2000","Turkey","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":","u"
"2000","United States","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","29.7",""
"2000","Japan","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","26.4",""
"2001","European Union (28 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","24.6","e"
"2001","European Union (27 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","24.6","e"
"2001","European Union (25 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents",":","u"
"2001","Euro area (18 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.2","e"
"2001","Euro area (17 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.2","e"
"2001","Euro area (15 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.3","e"
"2001","Euro area (13 countries)","Annual expenditure on public and private educational institutions per pupil/student compared to GDP per capita, for all levels of education combined, based on full-time equivalents","25.3","e"
